type,subject,code,duration,date
Cambridge IGCSE Cambridge IGCSE,Accounting (Multiple Choice),0452/13,1h 15m,Wednesday 08 2023 PM
Cambridge IGCSE Cambridge IGCSE,Accounting,0452/23,1h 45m,Monday 09 October PM
Cambridge IGCSE Cambridge IGCSE,Additional Mathematics,0606/13,2h,Friday 06 October PM
Cambridge IGCSE Cambridge IGCSE,Additional Mathematics,0606/23,2h,Monday 09 October PM
Cambridge IGCSE Cambridge IGCSE,Biology (Alternative to Practical),0610/63,1h,Thursday 19 October PM
Cambridge IGCSE Cambridge IGCSE,Biology (Core),0610/33,1h 15m,Monday 16 October PM
Cambridge IGCSE Cambridge IGCSE,Biology (Extended),0610/43,1h 15m,Monday 16 October PM
Cambridge IGCSE Cambridge IGCSE,Biology (Multiple Choice – Core),0610/13,45m,Tuesday 14 PM
Cambridge IGCSE Cambridge IGCSE,Biology (Multiple Choice – Extended),0610/23,45m,Tuesday 14 PM
Cambridge IGCSE Cambridge IGCSE,Biology (Practical),0610/53,1h 15m,Thursday 19 October PM
Cambridge IGCSE Cambridge IGCSE,Business Studies,0450/13,1h 30m,Friday 13 October AM
Cambridge IGCSE Cambridge IGCSE,Business Studies,0450/23,1h 30m,Tuesday 17 October AM
Cambridge IGCSE Cambridge IGCSE,Cambridge International Mathematics (Core),0607/13,45m,Tuesday 03 October AM
Cambridge IGCSE Cambridge IGCSE,Cambridge International Mathematics (Core),0607/33,1h 45m,Wednesday 11 October AM
Cambridge IGCSE Cambridge IGCSE,Cambridge International Mathematics (Core),0607/53,1h 10m,Wednesday 18 October 2023 AM
Cambridge IGCSE Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/23,45m,Tuesday 03 October AM
Cambridge IGCSE Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/43,2h 15m,Wednesday 11 October AM
Cambridge IGCSE Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/63,1h 40m,Wednesday 18 October 2023 AM
Cambridge IGCSE Cambridge IGCSE,Chemistry (Alternative to Practical),0620/63,1h,Thursday 26 October PM
Cambridge IGCSE Cambridge IGCSE,Chemistry (Core),0620/33,1h 15m,Friday 13 October PM
Cambridge IGCSE Cambridge IGCSE,Chemistry (Extended),0620/43,1h 15m,Friday 13 October PM
