type,subject,code,duration,date
Cambridge IGCSE,Accounting (Multiple Choice),0452/13,1h 15m,Wednesday 08 November 2023 AM
Cambridge IGCSE,Accounting,0452/23,1h 45m,Monday 09 October AM
Cambridge IGCSE,Additional Mathematics,0606/13,2h,Friday 06 October AM
Cambridge IGCSE,Additional Mathematics,0606/23,2h,Monday 09 October AM
Cambridge IGCSE,Agriculture,0600/12,1h 45m,Thursday 19 October PM
Cambridge IGCSE,Biology (Alternative to Practical),0610/63,1h,Thursday 19 October AM
Cambridge IGCSE,Biology (Core),0610/33,1h 15m,Monday 16 October AM
Cambridge IGCSE,Biology (Extended),0610/43,1h 15m,Monday 16 October AM
Cambridge IGCSE,Biology (Multiple Choice – Core),0610/13,45m,Tuesday 14 November AM
Cambridge IGCSE,Biology (Multiple Choice – Extended),0610/23,45m,Tuesday 14 November AM
Cambridge IGCSE,Biology (Practical),0610/53,1h 15m,Thursday 19 October AM
Cambridge IGCSE,Business Studies,0450/12,1h 30m,Friday 13 October PM
Cambridge IGCSE,Business Studies,0450/22,1h 30m,Tuesday 17 October PM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/12,45m,Tuesday 03 October PM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/32,1h 45m,Wednesday 11 October PM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/52,1h 10m,Wednesday 18 October 2023 PM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/22,45m,Tuesday 03 October PM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/42,2h 15m,Wednesday 11 October PM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/62,1h 40m,Wednesday 18 October 2023 PM
Cambridge IGCSE,Chemistry (Alternative to Practical),0620/63,1h,Thursday 26 October AM
Cambridge IGCSE,Chemistry (Core),0620/33,1h 15m,Friday 13 October AM
Cambridge IGCSE,Chemistry (Extended),0620/43,1h 15m,Friday 13 October AM
Cambridge IGCSE,Chemistry (Multiple Choice – Core),0620/13,45m,Wednesday 15 November 2023 AM
Cambridge IGCSE,Chemistry (Multiple Choice – Extended),0620/23,45m,Wednesday 15 November 2023 AM
Cambridge IGCSE,Chemistry (Practical),0620/53,1h 15m,Thursday 26 October AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Alternative to Practical),0654/62,1h 30m,Tuesday 24 October PM
