type,subject,code,duration,date
Cambridge IGCSE,Accounting (Multiple Choice),0452/12,1h 15m,Wednesday 08 November 2023 PM
Cambridge IGCSE,Accounting,0452/22,1h 45m,Monday 09 October PM
Cambridge IGCSE,Additional Mathematics,0606/12,2h,Friday 06 October PM
Cambridge IGCSE,Additional Mathematics,0606/22,2h,Monday 09 October PM
Cambridge IGCSE,Agriculture,0600/12,1h 45m,Thursday 19 October AM
Cambridge IGCSE,Biology (Alternative to Practical),0610/62,1h,Thursday 19 October PM
Cambridge IGCSE,Biology (Core),0610/32,1h 15m,Monday 16 October PM
Cambridge IGCSE,Biology (Extended),0610/42,1h 15m,Monday 16 October PM
Cambridge IGCSE,Biology (Multiple Choice – Core),0610/12,45m,Tuesday 14 November PM
Cambridge IGCSE,Biology (Multiple Choice – Extended),0610/22,45m,Tuesday 14 November PM
Cambridge IGCSE,Biology (Practical),0610/52,1h 15m,Thursday 19 October PM
Cambridge IGCSE,Business Studies,0450/12,1h 30m,Friday 13 October AM
Cambridge IGCSE,Business Studies,0450/22,1h 30m,Tuesday 17 October AM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/12,45m,Tuesday 03 October AM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/32,1h 45m,Wednesday 11 October AM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/52,1h 10m,Wednesday 18 October 2023 AM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/22,45m,Tuesday 03 October AM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/42,2h 15m,Wednesday 11 October AM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/62,1h 40m,Wednesday 18 October 2023 AM
Cambridge IGCSE,Chemistry (Alternative to Practical),0620/62,1h,Thursday 26 October PM
Cambridge IGCSE,Chemistry (Core),0620/32,1h 15m,Friday 13 October PM
Cambridge IGCSE,Chemistry (Extended),0620/42,1h 15m,Friday 13 October PM
Cambridge IGCSE,Chemistry (Multiple Choice – Core),0620/12,45m,Wednesday 15 November 2023 PM
Cambridge IGCSE,Chemistry (Multiple Choice – Extended),0620/22,45m,Wednesday 15 November 2023 PM
Cambridge IGCSE,Chemistry (Practical),0620/52,1h 15m,Thursday 26 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Alternative to Practical),0654/62,1h 30m,Tuesday 24 October AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Extended),0654/42,2h,Thursday 12 October AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Core),0654/32,2h,Thursday 12 October AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple Choice – Core),0654/12,45m,Thursday 09 November 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple Choice – Extended),0654/22,45m,Thursday 09 November 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Practical),0654/52,2h,Tuesday 24 October AM
Cambridge IGCSE,Combined Science (Alternative to Practical),0653/62,1h,Tuesday 24 October AM
Cambridge IGCSE,Combined Science (Core),0653/32,1h 15m,Thursday 12 October AM
Cambridge IGCSE,Combined Science (Extended),0653/42,1h 15m,Thursday 12 October AM
Cambridge IGCSE,Combined Science (Multiple Choice – Core),0653/12,45m,Thursday 09 November 2023 AM
Cambridge IGCSE,Combined Science (Multiple Choice – Extended),0653/22,45m,Thursday 09 November 2023 AM
Cambridge IGCSE,Combined Science (Practical),0653/52,1h 15m,Tuesday 24 October EV
Cambridge IGCSE,Computer Science,0478/12,1h 45m,Wednesday 11 October PM
Cambridge IGCSE,Computer Science,0478/22,1h 45m,Friday 20 October PM
Cambridge IGCSE,Design & Technology,0445/12,1h 15m,Wednesday 25 October 2023 PM
Cambridge IGCSE,Design & Technology,0445/32,1h,Friday 03 November PM
Cambridge IGCSE,Design & Technology,0445/42,1h,Friday 03 November PM
Cambridge IGCSE,Design & Technology,0445/52,1h,Friday 03 November PM
Cambridge IGCSE,Drama,0411/12,2h 30m,Friday 27 October PM
Cambridge IGCSE,Economics (Multiple Choice),0455/12,45m,Monday 06 November PM
Cambridge IGCSE,Economics,0455/22,2h 15m,Monday 23 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Core),0511/12,1h 30m,Tuesday 10 October AM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Extended),0511/22,2h,Tuesday 10 October AM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Listening – Core),0511/32,40m,Monday 16 October AM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Listening – Extended),0511/42,50m,Monday 16 October AM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Core),0510/12,1h 30m,Tuesday 10 October AM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Extended),0510/22,2h,Tuesday 10 October AM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Listening – Core),0510/32,40m,Monday 16 October AM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Listening – Extended),0510/42,50m,Monday 16 October AM
Cambridge IGCSE,Enterprise,0454/12,1h 30m,Friday 06 October PM
Cambridge IGCSE,Environmental Management,0680/12,1h 45m,Monday 02 October AM
Cambridge IGCSE,Environmental Management,0680/22,1h 45m,Thursday 05 October AM
Cambridge IGCSE,First Language Arabic,0508/01,2h,Monday 02 October PM
Cambridge IGCSE,First Language Arabic,0508/02,2h,Wednesday 04 October 2023 PM
Cambridge IGCSE,First Language English (Oral Endorsement),0500/12,2h,Thursday 12 October PM
Cambridge IGCSE,First Language English (Oral Endorsement),0500/22,2h,Tuesday 17 October PM
