type,subject,code,duration,date
Cambridge IGCSE,Accounting (Multiple Choice) ,0452/11,1h 15m,Friday 26 May 2023 AM
Cambridge IGCSE,Accounting ,0452/21,1h 45m,Friday 19 May 2023 AM
Cambridge IGCSE,Additional Mathematics ,0606/11,2h,Tuesday 23 May 2023 AM
Cambridge IGCSE,Additional Mathematics ,0606/21,2h,Tuesday 30 May 2023 AM
Cambridge IGCSE,American History (US) ,0409/01,2h,Thursday 27 April 2023 PM
Cambridge IGCSE,American History (US) ,0409/02,1h 45m,Monday 01 May 2023 PM
Cambridge IGCSE,Arabic (Listening – Multiple Choice) ,0544/11,50m,Thursday 18 May 2023 PM
Cambridge IGCSE,Arabic ,0544/21,1h,Wednesday 26 April 2023 PM
Cambridge IGCSE,Arabic ,0544/41,1h,Thursday 18 May 2023 PM
Cambridge IGCSE,Bahasa Indonesia ,0538/01,1h 45m,Friday 28 April 2023 AM
Cambridge IGCSE,Bahasa Indonesia ,0538/02,1h 45m,Monday 29 May 2023 AM
Cambridge IGCSE,Biology (Alternative to Practical) ,0610/61,1h,Tuesday 09 May 2023 AM
Cambridge IGCSE,Biology (Core) ,0610/31,1h 15m,Tuesday 02 May 2023 AM
Cambridge IGCSE,Biology (Extended) ,0610/41,1h 15m,Tuesday 02 May 2023 AM
Cambridge IGCSE,Biology (Multiple Choice – Core) ,0610/11,45m,Thursday 08 June 2023 AM
Cambridge IGCSE,Biology (Multiple Choice – Extended) ,0610/21,45m,Thursday 08 June 2023 AM
Cambridge IGCSE,Biology (Practical) ,0610/51,1h 15m,Tuesday 09 May 2023 AM
Cambridge IGCSE,Business Studies ,0450/11,1h 30m,Monday 15 May 2023 AM
Cambridge IGCSE,Business Studies ,0450/21,1h 30m,Monday 22 May 2023 AM
Cambridge IGCSE,Cambridge International Mathematics (Core) ,0607/11,45m,Tuesday 25 April 2023 AM
Cambridge IGCSE,Cambridge International Mathematics (Core) ,0607/31,1h 45m,Thursday 27 April 2023 AM
Cambridge IGCSE,Cambridge International Mathematics (Core) ,0607/51,1h 10m,Friday 12 May 2023 AM
Cambridge IGCSE,Cambridge International Mathematics (Extended) ,0607/21,45m,Tuesday 25 April 2023 AM
Cambridge IGCSE,Cambridge International Mathematics (Extended) ,0607/41,2h 15m,Thursday 27 April 2023 AM
Cambridge IGCSE,Cambridge International Mathematics (Extended) ,0607/61,1h 40m,Friday 12 May 2023 AM
Cambridge IGCSE,Chemistry (Alternative to Practical) ,0620/61,1h,Thursday 11 May 2023 AM
Cambridge IGCSE,Chemistry (Core) ,0620/31,1h 15m,Thursday 04 May 2023 AM
Cambridge IGCSE,Chemistry (Extended) ,0620/41,1h 15m,Thursday 04 May 2023 AM
Cambridge IGCSE,Chemistry (Multiple Choice – Core) ,0620/11,45m,Wednesday 07 June 2023 AM
Cambridge IGCSE,Chemistry (Multiple Choice – Extended) ,0620/21,45m,Wednesday 07 June 2023 AM
Cambridge IGCSE,Chemistry (Practical) ,0620/51,1h 15m,Thursday 11 May 2023 AM
Cambridge IGCSE,Chinese as a Second Language (Listening) ,0523/02,45m,Friday 28 April 2023 AM
Cambridge IGCSE,Chinese as a Second Language ,0523/01,2h,Wednesday 26 April 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award)  (Alternative to Practical),0654/61,1h 30m,Tuesday 09 May 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award)  (Extended),0654/41,2h,Tuesday 02 May 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Core) ,0654/31,2h,Tuesday 02 May 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple  Choice – Core),0654/11,45m,Tuesday 06 June 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple  Choice – Extended),0654/21,45m,Tuesday 06 June 2023 AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Practical) ,0654/51,2h,Tuesday 09 May 2023 AM
Cambridge IGCSE,Combined Science (Alternative to Practical) ,0653/61,1h,Tuesday 09 May 2023 AM
Cambridge IGCSE,Combined Science (Core) ,0653/31,1h 15m,Tuesday 02 May 2023 AM
Cambridge IGCSE,Combined Science (Extended) ,0653/41,1h 15m,Tuesday 02 May 2023 AM
Cambridge IGCSE,Combined Science (Multiple Choice – Core) ,0653/11,45m,Tuesday 06 June 2023 AM
Cambridge IGCSE,Combined Science (Multiple Choice – Extended) ,0653/21,45m,Tuesday 06 June 2023 AM
Cambridge IGCSE,Combined Science (Practical) ,0653/51,1h 15m,Tuesday 09 May 2023 AM
Cambridge IGCSE,Computer Science ,0478/11,1h 45m,Friday 12 May 2023 AM
Cambridge IGCSE,Computer Science ,0478/21,1h 45m,Thursday 18 May 2023 AM
Cambridge IGCSE,Design & Technology ,0445/11,1h 15m,Wednesday 17 May 2023 PM
Cambridge IGCSE,Design & Technology ,0445/31,1h,Monday 05 June 2023 PM
Cambridge IGCSE,Design & Technology ,0445/41,1h,Monday 05 June 2023 PM
Cambridge IGCSE,Design & Technology ,0445/51,1h,Monday 05 June 2023 PM
Cambridge IGCSE,Drama ,0411/11,2h 30m,Friday 26 May 2023 PM
Cambridge IGCSE,Economics (Multiple Choice) ,0455/11,45m,Monday 05 June 2023 AM
Cambridge IGCSE,Economics ,0455/21,2h 15m,Thursday 25 May 2023 AM
Cambridge IGCSE,English (as an Additional Language) (Listening –  Multiple Choice),0472/11,50m,Friday 05 May 2023 AM
Cambridge IGCSE,English (as an Additional Language) ,0472/21,1h,Wednesday 03 May 2023 AM
Cambridge IGCSE,English (as an Additional Language) ,0472/41,1h,Wednesday 03 May 2023 AM
Cambridge IGCSE,English as a Second Language (Count-in  Speaking) (Core),0511/11,1h 30m,Wednesday 03 May 2023 AM
Cambridge IGCSE,English as a Second Language (Count-in  Speaking) (Extended),0511/21,2h,Wednesday 03 May 2023 AM
Cambridge IGCSE,English as a Second Language (Count-in  Speaking) (Listening – Core),0511/31,40m,Friday 05 May 2023 AM
Cambridge IGCSE,English as a Second Language (Count-in  Speaking) (Listening – Extended),0511/41,50m,Friday 05 May 2023 AM
Cambridge IGCSE,English as a Second Language (Speaking  Endorsement) (Core),0510/11,1h 30m,Wednesday 03 May 2023 AM
Cambridge IGCSE,English as a Second Language (Speaking  Endorsement) (Extended),0510/21,2h,Wednesday 03 May 2023 AM
Cambridge IGCSE,English as a Second Language (Speaking  Endorsement) (Listening – Core),0510/31,40m,Friday 05 May 2023 AM
Cambridge IGCSE,English as a Second Language (Speaking  Endorsement) (Listening – Extended),0510/41,50m,Friday 05 May 2023 AM
Cambridge IGCSE,Enterprise ,0454/11,1h 30m,Tuesday 06 June 2023 PM
Cambridge IGCSE,Environmental Management ,0680/11,1h 45m,Tuesday 23 May 2023 AM
Cambridge IGCSE,Environmental Management ,0680/21,1h 45m,Monday 05 June 2023 AM
Cambridge IGCSE,First Language Chinese ,0509/11,2h 15m,Thursday 11 May 2023 PM
Cambridge IGCSE,First Language Chinese ,0509/21,2h,Thursday 18 May 2023 PM
Cambridge IGCSE,First Language English (Oral Endorsement) ,0500/11,2h,Wednesday 03 May 2023 AM
Cambridge IGCSE,First Language English (Oral Endorsement) ,0500/21,2h,Friday 05 May 2023 AM
Cambridge IGCSE,First Language Portuguese ,0504/01,2h,Wednesday 24 May 2023 AM
Cambridge IGCSE,First Language Portuguese ,0504/02,2h,Monday 29 May 2023 AM
Cambridge IGCSE,First Language Spanish ,0502/11,2h,Wednesday 17 May 2023 AM
Cambridge IGCSE,First Language Spanish ,0502/21,2h,Friday 19 May 2023 AM
Cambridge IGCSE,Food & Nutrition ,0648/11,2h,Wednesday 07 June 2023 PM
Cambridge IGCSE,French (Listening – Multiple Choice) ,0520/11,50m,Friday 28 April 2023 AM
Cambridge IGCSE,French ,0520/21,1h,Thursday 11 May 2023 AM
Cambridge IGCSE,French ,0520/41,1h,Friday 28 April 2023 AM
Cambridge IGCSE,Geography ,0460/11,1h 45m,Wednesday 03 May 2023 PM
Cambridge IGCSE,Geography ,0460/21,1h 30m,Monday 15 May 2023 PM
Cambridge IGCSE,Geography ,0460/41,1h 30m,Tuesday 23 May 2023 PM
Cambridge IGCSE,German (Listening – Multiple Choice) ,0525/11,50m,Wednesday 26 April 2023 PM
Cambridge IGCSE,German ,0525/21,1h,Thursday 11 May 2023 PM
Cambridge IGCSE,German ,0525/41,1h,Wednesday 26 April 2023 PM
Cambridge IGCSE,Global Perspectives ,0457/11,1h 15m,Friday 12 May 2023 PM
Cambridge IGCSE,History ,0470/11,2h,Friday 05 May 2023 PM
