type,subject,code,duration,date
Cambridge IGCSE,Accounting (Multiple Choice),0452/12,1h 15m,Wednesday 08 2023 AM
Cambridge IGCSE,Accounting (Multiple Choice),0985/12,1h 15m,Wednesday 08 2023 AM
Cambridge IGCSE,Accounting,0452/22,1h 45m,Monday 09 October AM
Cambridge IGCSE,Accounting,0985/22,1h 45m,Monday 09 October AM
Cambridge IGCSE,Additional Mathematics,0606/12,2h,Friday 06 October AM
Cambridge IGCSE,Additional Mathematics,0606/22,2h,Monday 09 October AM
Cambridge IGCSE,Afrikaans as a Second Language (Listening),0548/02,45m,Monday 16 October PM
Cambridge IGCSE,Afrikaans as a Second Language,0548/01,2h,Friday 20 October PM
Cambridge IGCSE,Agriculture,0600/11,1h 45m,Thursday 19 October PM
Cambridge IGCSE,Biology (Alternative to Practical),0610/62,1h,Thursday 19 October AM
Cambridge IGCSE,Biology (Alternative to Practical),0970/62,1h,Thursday 19 October AM
Cambridge IGCSE,Biology (Core),0610/32,1h 15m,Monday 16 October AM
Cambridge IGCSE,Biology (Core),0970/32,1h 15m,Monday 16 October AM
Cambridge IGCSE,Biology (Extended),0610/42,1h 15m,Monday 16 October AM
Cambridge IGCSE,Biology (Extended),0970/42,1h 15m,Monday 16 October AM
Cambridge IGCSE,Biology (Multiple Choice – Core),0610/12,45m,Tuesday 14 AM
Cambridge IGCSE,Biology (Multiple Choice – Core),0970/12,45m,Tuesday 14 AM
Cambridge IGCSE,Biology (Multiple Choice – Extended),0610/22,45m,Tuesday 14 AM
Cambridge IGCSE,Biology (Multiple Choice – Extended),0970/22,45m,Tuesday 14 AM
Cambridge IGCSE,Biology (Practical),0610/52,1h 15m,Thursday 19 October AM
Cambridge IGCSE,Biology (Practical),0970/52,1h 15m,Thursday 19 October AM
Cambridge IGCSE,Business Studies,0450/11,1h 30m,Friday 13 October PM
Cambridge IGCSE,Business Studies,0450/21,1h 30m,Tuesday 17 October PM
Cambridge IGCSE,Business Studies,0986/11,1h 30m,Friday 13 October PM
Cambridge IGCSE,Business Studies,0986/21,1h 30m,Tuesday 17 October PM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/11,45m,Tuesday 03 October PM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/31,1h 45m,Wednesday 11 October PM
Cambridge IGCSE,Cambridge International Mathematics (Core),0607/51,1h 10m,Wednesday 18 October 2023 PM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/21,45m,Tuesday 03 October PM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/41,2h 15m,Wednesday 11 October PM
Cambridge IGCSE,Cambridge International Mathematics (Extended),0607/61,1h 40m,Wednesday 18 October 2023 PM
Cambridge IGCSE,Chemistry (Alternative to Practical),0620/62,1h,Thursday 26 October AM
Cambridge IGCSE,Chemistry (Alternative to Practical),0971/62,1h,Thursday 26 October AM
Cambridge IGCSE,Chemistry (Core),0620/32,1h 15m,Friday 13 October AM
Cambridge IGCSE,Chemistry (Core),0971/32,1h 15m,Friday 13 October AM
Cambridge IGCSE,Chemistry (Extended),0620/42,1h 15m,Friday 13 October AM
Cambridge IGCSE,Chemistry (Extended),0971/42,1h 15m,Friday 13 October AM
Cambridge IGCSE,Chemistry (Multiple Choice – Core),0620/12,45m,Wednesday 15 2023 AM
Cambridge IGCSE,Chemistry (Multiple Choice – Core),0971/12,45m,Wednesday 15 2023 AM
Cambridge IGCSE,Chemistry (Multiple Choice – Extended),0620/22,45m,Wednesday 15 2023 AM
Cambridge IGCSE,Chemistry (Multiple Choice – Extended),0971/22,45m,Wednesday 15 2023 AM
Cambridge IGCSE,Chemistry (Practical),0620/52,1h 15m,Thursday 26 October AM
Cambridge IGCSE,Chemistry (Practical),0971/52,1h 15m,Thursday 26 October AM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Alternative to Practical),0654/61,1h 30m,Tuesday 24 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Alternative to Practical),0973/61,1h 30m,Tuesday 24 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Extended),0654/41,2h,Thursday 12 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Extended),0973/41,2h,Thursday 12 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Core),0654/31,2h,Thursday 12 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Core),0973/31,2h,Thursday 12 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple Choice – Core),0654/11,45m,Thursday 09 2023 PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple Choice – Core),0973/11,45m,Thursday 09 2023 PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple Choice – Extended),0654/21,45m,Thursday 09 2023 PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Multiple Choice – Extended),0973/21,45m,Thursday 09 2023 PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Practical),0654/51,2h,Tuesday 24 October PM
Cambridge IGCSE,Co-ordinated Sciences (Double Award) (Practical),0973/51,2h,Tuesday 24 October PM
Cambridge IGCSE,Combined Science (Alternative to Practical),0653/61,1h,Tuesday 24 October PM
Cambridge IGCSE,Combined Science (Core),0653/31,1h 15m,Thursday 12 October PM
Cambridge IGCSE,Combined Science (Extended),0653/41,1h 15m,Thursday 12 October PM
Cambridge IGCSE,Combined Science (Multiple Choice – Core),0653/11,45m,Thursday 09 2023 PM
Cambridge IGCSE,Combined Science (Multiple Choice – Extended),0653/21,45m,Thursday 09 2023 PM
Cambridge IGCSE,Combined Science (Practical),0653/51,1h 15m,Tuesday 24 October PM
Cambridge IGCSE,Computer Science,0478/12,1h 45m,Wednesday 11 October AM
Cambridge IGCSE,Computer Science,0478/22,1h 45m,Friday 20 October AM
Cambridge IGCSE,Computer Science,0984/12,1h 45m,Wednesday 11 October AM
Cambridge IGCSE,Computer Science,0984/22,1h 45m,Friday 20 October AM
Cambridge IGCSE,Design & Technology,0445/12,1h 15m,Wednesday 25 October 2023 AM
Cambridge IGCSE,Design & Technology,0445/32,1h,Friday 03 AM
Cambridge IGCSE,Design & Technology,0445/42,1h,Friday 03 AM
Cambridge IGCSE,Design & Technology,0445/52,1h,Friday 03 AM
Cambridge IGCSE,Design & Technology,0979/12,1h 15m,Wednesday 25 October 2023 AM
Cambridge IGCSE,Design & Technology,0979/32,1h,Friday 03 AM
Cambridge IGCSE,Design & Technology,0979/42,1h,Friday 03 AM
Cambridge IGCSE,Design & Technology,0979/52,1h,Friday 03 AM
Cambridge IGCSE,Drama,0411/12,2h 30m,Friday 27 October AM
Cambridge IGCSE,Drama,0994/12,2h 30m,Friday 27 October AM
Cambridge IGCSE,Economics (Multiple Choice),0455/12,45m,Monday 06 AM
Cambridge IGCSE,Economics (Multiple Choice),0987/12,45m,Monday 06 AM
Cambridge IGCSE,Economics,0455/22,2h 15m,Monday 23 October AM
Cambridge IGCSE,Economics,0987/22,2h 15m,Monday 23 October AM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Core),0511/11,1h 30m,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Core),0991/11,1h 30m,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Extended),0511/21,2h,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Extended),0991/21,2h,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Listening – Core),0511/31,40m,Monday 16 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Listening – Core),0991/31,40m,Monday 16 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Listening – Extended),0511/41,50m,Monday 16 October PM
Cambridge IGCSE,English as a Second Language (Count-in Speaking) (Listening – Extended),0991/41,50m,Monday 16 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Core),0510/11,1h 30m,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Core),0993/11,1h 30m,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Extended),0510/21,2h,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Extended),0993/21,2h,Tuesday 10 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Listening – Core),0510/31,40m,Monday 16 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Listening – Core),0993/31,40m,Monday 16 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Listening – Extended),0510/41,50m,Monday 16 October PM
Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (Listening – Extended),0993/41,50m,Monday 16 October PM
Cambridge IGCSE,Enterprise,0454/12,1h 30m,Friday 06 October AM
Cambridge IGCSE,Environmental Management,0680/11,1h 45m,Monday 02 October PM
Cambridge IGCSE,Environmental Management,0680/21,1h 45m,Thursday 05 October PM
Cambridge IGCSE,First Language Arabic,0508/01,2h,Monday 02 October AM
Cambridge IGCSE,First Language Arabic,0508/02,2h,Wednesday 04 October 2023 AM
Cambridge IGCSE,First Language Arabic,7184/01,2h,Monday 02 October AM
Cambridge IGCSE,First Language Arabic,7184/02,2h,Wednesday 04 October 2023 AM
Cambridge IGCSE,First Language English (Oral Endorsement),0500/12,2h,Thursday 12 October AM
Cambridge IGCSE,First Language English (Oral Endorsement),0500/22,2h,Tuesday 17 October AM
Cambridge IGCSE,First Language English,0990/12,2h,Thursday 12 October AM
Cambridge IGCSE,First Language English,0990/22,2h,Tuesday 17 October AM
Cambridge IGCSE,First Language Spanish,0502/12,2h,Tuesday 03 October AM
Cambridge IGCSE,First Language Spanish,0502/22,2h,Thursday 05 October AM
Cambridge IGCSE,Food & Nutrition,0648/11,2h,Thursday 26 October AM
Cambridge IGCSE,French (Listening – Multiple Choice),0520/12,50m,Thursday 16 AM
Cambridge IGCSE,French (Listening – Multiple Choice),7156/12,50m,Thursday 16 AM
Cambridge IGCSE,French,0520/22,1h,Wednesday 25 October 2023 AM
Cambridge IGCSE,French,0520/42,1h,Friday 27 October AM
Cambridge IGCSE,French,7156/22,1h,Wednesday 25 October 2023 AM
Cambridge IGCSE,French,7156/42,1h,Friday 27 October AM
Cambridge IGCSE,Geography,0460/12,1h 45m,Friday 20 October AM
Cambridge IGCSE,Geography,0460/22,1h 30m,Wednesday 18 October 2023 AM
Cambridge IGCSE,Geography,0460/42,1h 30m,Monday 30 October AM
Cambridge IGCSE,Geography,0976/12,1h 45m,Friday 20 October AM
Cambridge IGCSE,Geography,0976/22,1h 30m,Wednesday 18 October 2023 AM
Cambridge IGCSE,Geography,0976/42,1h 30m,Monday 30 October AM
Cambridge IGCSE,German (Listening – Multiple Choice),0525/12,50m,Friday 10 AM
Cambridge IGCSE,German (Listening – Multiple Choice),7159/12,50m,Friday 10 AM
Cambridge IGCSE,German,0525/22,1h,Monday 06 AM
Cambridge IGCSE,German,0525/42,1h,Tuesday 17 October AM
Cambridge IGCSE,German,7159/22,1h,Monday 06 AM
Cambridge IGCSE,German,7159/42,1h,Tuesday 17 October AM
Cambridge IGCSE,Global Perspectives,0457/11,1h 15m,Wednesday 25 October 2023 PM
Cambridge IGCSE,Hindi as a Second Language,0549/01,2h,Monday 23 October AM
Cambridge IGCSE,Hindi as a Second Language,0549/02,45m,Friday 20 October AM
Cambridge IGCSE,History,0470/11,2h,Friday 06 October PM
Cambridge IGCSE,History,0470/21,2h,Friday 27 October PM
Cambridge IGCSE,History,0470/41,1h,Wednesday 25 October 2023 PM
Cambridge IGCSE,History,0977/11,2h,Friday 06 October PM
Cambridge IGCSE,History,0977/21,2h,Friday 27 October PM
Cambridge IGCSE,History,0977/41,1h,Wednesday 25 October 2023 PM
Cambridge IGCSE,Information & Communication Technology,0417/11,1h 30m,Thursday 19 October PM
Cambridge IGCSE,Information & Communication Technology,0983/11,1h 30m,Thursday 19 October PM
Cambridge IGCSE,IsiZulu as a Second Language (Listening),0531/02,45m,Friday 20 October PM
Cambridge IGCSE,IsiZulu as a Second Language,0531/01,2h,Monday 23 October PM
Cambridge IGCSE,Islamiyat,0493/11,1h 30m,Monday 02 October PM
Cambridge IGCSE,Islamiyat,0493/21,1h 30m,Wednesday 04 October 2023 PM
Cambridge IGCSE,Literature (Spanish),0488/01,2h 15m,Wednesday 04 October 2023 AM
Cambridge IGCSE,Literature (Spanish),0488/03,1h 20m,Friday 06 October AM
Cambridge IGCSE,Literature in English,0475/12,1h 30m,Tuesday 24 October AM
Cambridge IGCSE,Literature in English,0475/22,1h 30m,Tuesday 31 October AM
Cambridge IGCSE,Literature in English,0475/32,45m,Tuesday 31 October AM
